layer,depth,province
355,-5024.7607421875,non-categ_mpas
356,-5219.07470703125,non-categ_mpas
357,-5089.2734375,non-categ_mpas
358,-5323.74609375,non-categ_mpas
359,-5542.95068359375,non-categ_mpas
360,-5788.1376953125,non-categ_mpas
361,-5857.7646484375,non-categ_mpas
362,-5887.4375,non-categ_mpas
363,-5951.28955078125,non-categ_mpas
364,-5835.2138671875,non-categ_mpas
365,-5696.3515625,non-categ_mpas
366,-5785.3037109375,non-categ_mpas
367,-5332.349609375,non-categ_mpas
368,-4568.88134765625,non-categ_mpas
369,-4500.3427734375,non-categ_mpas
370,-4938.30712890625,non-categ_mpas
371,-5266.41650390625,non-categ_mpas
372,-5177.908203125,non-categ_mpas
373,-5007.5888671875,non-categ_mpas
374,-5091.1650390625,non-categ_mpas
375,-4739.052734375,non-categ_mpas
376,-4103.99267578125,non-categ_mpas
377,-4248.884765625,non-categ_mpas
378,-5239.3603515625,non-categ_mpas
379,-5108.40966796875,non-categ_mpas
380,-5256.6787109375,non-categ_mpas
381,-5452.25244140625,non-categ_mpas
382,-5705.0244140625,non-categ_mpas
383,-5830.23095703125,non-categ_mpas
384,-5917.74609375,non-categ_mpas
385,-5973.365234375,non-categ_mpas
386,-5906.091796875,non-categ_mpas
387,-5912.0810546875,non-categ_mpas
388,-5806.451171875,non-categ_mpas
389,-5548.82470703125,non-categ_mpas
390,-4959.20458984375,non-categ_mpas
391,-4765.4384765625,non-categ_mpas
392,-4848.572265625,non-categ_mpas
393,-5263.34814453125,non-categ_mpas
394,-4973.48291015625,non-categ_mpas
395,-4923.08056640625,non-categ_mpas
396,-5080.49951171875,non-categ_mpas
397,-5128.6162109375,non-categ_mpas
398,-4365.95263671875,non-categ_mpas
399,-4378.03125,non-categ_mpas
400,-3818.19604492188,non-categ_mpas
401,-5632.16259765625,non-categ_mpas
402,-5498.435546875,non-categ_mpas
403,-5188.63818359375,non-categ_mpas
404,-5231.41162109375,non-categ_mpas
405,-5412.61376953125,non-categ_mpas
406,-5616.38037109375,non-categ_mpas
407,-5582.681640625,non-categ_mpas
408,-5770.98876953125,non-categ_mpas
409,-5804.4775390625,non-categ_mpas
410,-6021.7900390625,non-categ_mpas
411,-5863.3115234375,non-categ_mpas
412,-5743.73291015625,non-categ_mpas
413,-5558.11083984375,non-categ_mpas
414,-5368.35400390625,non-categ_mpas
415,-4918.7685546875,non-categ_mpas
416,-4934.77685546875,non-categ_mpas
417,-5126.041015625,non-categ_mpas
418,-5166.82958984375,non-categ_mpas
419,-4734.7919921875,non-categ_mpas
420,-5021.97802734375,non-categ_mpas
421,-4984.69482421875,non-categ_mpas
422,-4961.70849609375,non-categ_mpas
423,-2381.91577148438,non-categ_mpas
424,-3684.2470703125,non-categ_mpas
425,-5524.0859375,non-categ_mpas
426,-5525.89404296875,non-categ_mpas
427,-5416.46923828125,non-categ_mpas
428,-5186.99462890625,non-categ_mpas
429,-5416.36181640625,non-categ_mpas
430,-5597.037109375,non-categ_mpas
431,-5122.68701171875,non-categ_mpas
432,-5765.6015625,non-categ_mpas
433,-5933.7568359375,non-categ_mpas
434,-5977.7216796875,non-categ_mpas
435,-5946.419921875,non-categ_mpas
436,-5906.1806640625,non-categ_mpas
437,-5410.94580078125,non-categ_mpas
438,-5323.86669921875,non-categ_mpas
439,-5351.97119140625,non-categ_mpas
440,-4950.02294921875,non-categ_mpas
441,-5084.74755859375,non-categ_mpas
442,-5217.86669921875,non-categ_mpas
443,-4450.837890625,non-categ_mpas
444,-4700.25341796875,non-categ_mpas
445,-4860.70458984375,non-categ_mpas
446,-5035.87255859375,non-categ_mpas
447,-3645.93408203125,non-categ_mpas
448,-3713.64013671875,non-categ_mpas
449,-3806.14428710938,non-categ_mpas
450,-5449.92626953125,non-categ_mpas
451,-5533.48974609375,non-categ_mpas
452,-5374.13818359375,non-categ_mpas
453,-5195.08056640625,non-categ_mpas
454,-5097.2802734375,non-categ_mpas
455,-5566.4501953125,non-categ_mpas
456,-4699.1357421875,non-categ_mpas
457,-5218.189453125,non-categ_mpas
458,-5323.625,non-categ_mpas
459,-5935.64599609375,non-categ_mpas
460,-5997.22607421875,non-categ_mpas
461,-5936.3916015625,non-categ_mpas
462,-5826.8955078125,non-categ_mpas
463,-4911.7490234375,non-categ_mpas
464,-5099.1064453125,non-categ_mpas
465,-5232.931640625,non-categ_mpas
466,-5080.55859375,non-categ_mpas
467,-5150.4130859375,non-categ_mpas
468,-5155.33935546875,non-categ_mpas
469,-4424.21240234375,non-categ_mpas
470,-4990.4453125,non-categ_mpas
471,-4783.96533203125,non-categ_mpas
472,-4609.49658203125,non-categ_mpas
473,-2822.42919921875,non-categ_mpas
