layer,province
615,PEQD_Longhurst
616,PEQD_Longhurst
617,PEQD_Longhurst
618,PEQD_Longhurst
619,PEQD_Longhurst
620,PEQD_Longhurst
621,PNEC_Longhurst
622,PNEC_Longhurst
623,PNEC_Longhurst
624,PNEC_Longhurst
625,PNEC_Longhurst
626,PNEC_Longhurst
627,PNEC_Longhurst
628,NPTG_Longhurst
629,NPTG_Longhurst
630,NPTG_Longhurst
631,NPTG_Longhurst
632,NPTG_Longhurst
633,NPTG_Longhurst
634,NPSW_Longhurst
635,NPSW_Longhurst
636,NPSW_Longhurst
637,NPSW_Longhurst
638,NPSW_Longhurst
639,NPSW_Longhurst
640,NPSW_Longhurst
641,NPSW_Longhurst
642,NPSW_Longhurst
643,NPSW_Longhurst
644,PEQD_Longhurst
645,PEQD_Longhurst
646,PEQD_Longhurst
647,PEQD_Longhurst
648,PEQD_Longhurst
649,PEQD_Longhurst
650,PNEC_Longhurst
651,PNEC_Longhurst
652,PNEC_Longhurst
653,PNEC_Longhurst
654,PNEC_Longhurst
655,PNEC_Longhurst
656,PNEC_Longhurst
657,NPTG_Longhurst
658,NPTG_Longhurst
659,NPTG_Longhurst
660,NPTG_Longhurst
661,NPTG_Longhurst
662,NPTG_Longhurst
663,NPTG_Longhurst
664,NPSW_Longhurst
665,NPSW_Longhurst
666,NPSW_Longhurst
667,NPSW_Longhurst
668,NPSW_Longhurst
669,NPSW_Longhurst
670,NPSW_Longhurst
671,NPSW_Longhurst
672,NPSW_Longhurst
673,NPSW_Longhurst
674,PEQD_Longhurst
675,PEQD_Longhurst
676,PEQD_Longhurst
677,PEQD_Longhurst
678,PEQD_Longhurst
679,PEQD_Longhurst
680,PNEC_Longhurst
681,PNEC_Longhurst
682,PNEC_Longhurst
683,PNEC_Longhurst
684,PNEC_Longhurst
685,PNEC_Longhurst
686,PNEC_Longhurst
687,NPTG_Longhurst
688,NPTG_Longhurst
689,NPTG_Longhurst
690,NPTG_Longhurst
691,NPTG_Longhurst
692,NPTG_Longhurst
693,NPTG_Longhurst
694,NPSW_Longhurst
695,NPSW_Longhurst
696,NPSW_Longhurst
697,NPSW_Longhurst
698,NPSW_Longhurst
699,NPSW_Longhurst
700,NPSW_Longhurst
701,NPSW_Longhurst
702,NPSW_Longhurst
703,NPSW_Longhurst
704,PEQD_Longhurst
705,PEQD_Longhurst
706,PEQD_Longhurst
707,PEQD_Longhurst
708,PEQD_Longhurst
709,PEQD_Longhurst
710,PNEC_Longhurst
711,PNEC_Longhurst
712,PNEC_Longhurst
713,PNEC_Longhurst
714,PNEC_Longhurst
715,PNEC_Longhurst
716,PNEC_Longhurst
717,NPTG_Longhurst
718,NPTG_Longhurst
719,NPTG_Longhurst
720,NPTG_Longhurst
721,NPTG_Longhurst
722,NPTG_Longhurst
723,NPTG_Longhurst
724,NPTG_Longhurst
725,NPSW_Longhurst
726,NPSW_Longhurst
727,NPSW_Longhurst
728,NPSW_Longhurst
729,NPSW_Longhurst
730,NPSW_Longhurst
731,NPSW_Longhurst
732,NPSW_Longhurst
733,NPSW_Longhurst
734,NPSW_Longhurst
735,PEQD_Longhurst
736,PEQD_Longhurst
737,PEQD_Longhurst
738,PEQD_Longhurst
739,PEQD_Longhurst
740,PEQD_Longhurst
741,PNEC_Longhurst
742,PNEC_Longhurst
743,PNEC_Longhurst
744,PNEC_Longhurst
745,PNEC_Longhurst
746,PNEC_Longhurst
747,PNEC_Longhurst
