layer,province
271387,12_GOODS
271388,12_GOODS
271389,12_GOODS
271390,12_GOODS
271391,12_GOODS
271392,12_GOODS
271393,12_GOODS
271394,12_GOODS
271395,12_GOODS
271396,12_GOODS
271397,12_GOODS
271398,12_GOODS
271399,10_GOODS
271400,10_GOODS
271401,10_GOODS
271402,10_GOODS
271403,10_GOODS
271404,10_GOODS
271405,11_GOODS
271406,11_GOODS
271407,11_GOODS
271408,11_GOODS
271409,11_GOODS
271410,11_GOODS
271411,11_GOODS
271412,11_GOODS
271413,11_GOODS
271414,11_GOODS
271415,11_GOODS
271416,11_GOODS
271417,11_GOODS
271418,12_GOODS
271419,12_GOODS
271420,12_GOODS
271421,12_GOODS
271422,12_GOODS
271423,12_GOODS
271424,12_GOODS
271425,12_GOODS
271426,12_GOODS
271427,12_GOODS
271428,12_GOODS
271429,12_GOODS
271430,12_GOODS
271431,12_GOODS
271432,12_GOODS
271433,12_GOODS
271434,12_GOODS
271435,12_GOODS
271436,12_GOODS
271437,12_GOODS
271438,10_GOODS
271439,10_GOODS
271440,10_GOODS
271441,10_GOODS
271442,10_GOODS
271443,11_GOODS
271444,11_GOODS
271445,11_GOODS
271446,11_GOODS
271447,11_GOODS
271448,11_GOODS
271449,11_GOODS
271450,11_GOODS
271451,11_GOODS
271452,11_GOODS
271453,11_GOODS
271454,11_GOODS
271455,11_GOODS
271456,12_GOODS
271457,12_GOODS
271458,12_GOODS
271459,12_GOODS
271460,12_GOODS
271461,12_GOODS
271462,12_GOODS
271463,12_GOODS
271464,12_GOODS
271465,12_GOODS
271466,12_GOODS
271467,12_GOODS
271468,12_GOODS
271469,12_GOODS
271470,12_GOODS
271471,12_GOODS
271472,12_GOODS
271473,10_GOODS
271474,10_GOODS
271475,10_GOODS
271476,10_GOODS
271477,10_GOODS
271478,11_GOODS
271479,11_GOODS
271480,11_GOODS
271481,11_GOODS
271482,11_GOODS
271483,11_GOODS
271484,11_GOODS
271485,11_GOODS
271486,11_GOODS
271487,11_GOODS
271488,11_GOODS
271489,11_GOODS
271490,11_GOODS
271491,11_GOODS
271492,12_GOODS
271493,12_GOODS
271494,12_GOODS
271495,12_GOODS
271496,12_GOODS
271497,12_GOODS
271498,12_GOODS
271499,12_GOODS
271500,12_GOODS
271501,12_GOODS
271502,12_GOODS
271503,12_GOODS
271504,12_GOODS
271505,12_GOODS
271506,12_GOODS
271507,12_GOODS
271508,12_GOODS
271509,10_GOODS
271510,10_GOODS
271511,10_GOODS
271512,10_GOODS
271513,10_GOODS
271514,11_GOODS
271515,11_GOODS
271516,11_GOODS
271517,11_GOODS
271518,11_GOODS
271519,11_GOODS
271520,11_GOODS
271521,11_GOODS
271522,11_GOODS
271523,11_GOODS
271524,11_GOODS
271525,11_GOODS
271526,11_GOODS
271527,11_GOODS
271528,12_GOODS
271529,12_GOODS
271530,12_GOODS
271531,12_GOODS
271532,12_GOODS
271533,12_GOODS
271534,12_GOODS
271535,12_GOODS
271536,12_GOODS
271537,12_GOODS
271538,12_GOODS
271539,12_GOODS
271540,12_GOODS
271541,12_GOODS
271542,12_GOODS
271543,12_GOODS
271544,10_GOODS
271545,10_GOODS
271546,10_GOODS
271547,10_GOODS
271548,11_GOODS
271549,11_GOODS
271550,11_GOODS
271551,11_GOODS
271552,11_GOODS
271553,11_GOODS
271554,11_GOODS
271555,11_GOODS
271556,11_GOODS
271557,11_GOODS
271558,11_GOODS
271559,11_GOODS
271560,11_GOODS
271561,11_GOODS
271562,12_GOODS
271563,12_GOODS
271564,12_GOODS
271565,12_GOODS
271566,12_GOODS
271567,12_GOODS
271568,12_GOODS
271569,12_GOODS
271570,12_GOODS
271571,12_GOODS
271572,12_GOODS
271573,12_GOODS
271574,12_GOODS
271575,12_GOODS
271576,12_GOODS
271577,12_GOODS
271578,10_GOODS
271579,10_GOODS
271580,10_GOODS
271581,10_GOODS
271582,11_GOODS
271583,11_GOODS
271584,11_GOODS
271585,11_GOODS
271586,11_GOODS
271587,11_GOODS
271588,11_GOODS
271589,11_GOODS
271590,11_GOODS
271591,11_GOODS
271592,11_GOODS
